release_group,artist_credit
rg445,ac141
rg446,ac1969
rg447,ac141
rg448,ac1613
rg449,ac1449
rg450,ac1294
rg451,ac2613
rg452,ac141
rg453,ac3281
rg454,ac1671
rg455,ac3197
rg456,ac2635
rg457,ac3609
rg458,ac3438
rg459,ac2513
rg460,ac3677
rg461,ac141
rg462,ac4338
rg463,ac141
rg464,ac1698
rg465,ac1797
rg466,ac1625
rg467,ac2427
rg468,ac141
rg469,ac3789
rg470,ac319
rg471,ac141
rg472,ac141
rg473,ac539
rg474,ac2464
rg475,ac2753
rg476,ac3052
rg477,ac3852
rg478,ac660
rg479,ac2857
rg480,ac1217
rg481,ac1820
rg482,ac1155
rg483,ac342
rg484,ac3729
rg485,ac148
rg486,ac2269
rg487,ac306
rg488,ac4046
rg489,ac3381
rg490,ac4076
rg491,ac4475
rg492,ac2725
rg493,ac1986
rg494,ac2860
rg495,ac1244
rg496,ac176
rg497,ac141
rg498,ac1722
rg499,ac324
rg500,ac4224
rg501,ac1259
rg502,ac3964
rg503,ac757
rg504,ac1044
rg505,ac4386
rg506,ac271
rg507,ac141
rg508,ac1219
rg509,ac4090
rg510,ac141
rg511,ac3339
rg512,ac3858
rg513,ac1132
rg514,ac141
rg515,ac3192
rg516,ac2487
rg517,ac881
rg518,ac157
rg519,ac3468
rg520,ac1759
rg521,ac11
rg522,ac2335
rg523,ac433
rg524,ac141
rg525,ac158
rg526,ac4388
rg527,ac2061
rg528,ac1786
rg529,ac141
rg530,ac141
rg531,ac1126
rg532,ac141
rg533,ac1094
rg534,ac4137
rg535,ac3211
rg536,ac141
rg537,ac2515
rg538,ac4567
rg539,ac2312
rg540,ac3406
rg541,ac141
rg542,ac4487
rg543,ac3966
rg544,ac3763
rg545,ac393
rg546,ac2996
rg547,ac1278
rg548,ac781
rg549,ac2349
rg550,ac1594
rg551,ac141
rg552,ac3364
rg553,ac2156
rg554,ac141
rg555,ac3155
rg556,ac947
rg557,ac304
rg558,ac1345
rg559,ac2784
rg560,ac273
rg561,ac729
rg562,ac2441
rg563,ac1810
rg564,ac2123
rg565,ac903
rg566,ac4349
rg567,ac2795
rg568,ac4062
rg569,ac4227
rg570,ac3876
rg571,ac1066
rg572,ac1723
rg573,ac141
rg574,ac1789
rg575,ac141
rg576,ac3461
rg577,ac4292
rg578,ac1114
rg579,ac141
rg580,ac1577
rg581,ac334
rg582,ac3953
rg583,ac141
rg584,ac3483
rg585,ac3671
rg586,ac3994
rg587,ac568
rg588,ac1201
rg589,ac3928
rg590,ac2505
rg591,ac2505
rg592,ac3654
rg593,ac917
rg594,ac2319
rg595,ac3593
rg596,ac3593
rg597,ac2261
rg598,ac472
rg599,ac141
rg600,ac1371
rg601,ac2217
rg602,ac245
rg603,ac3509
rg604,ac141
rg605,ac3296
rg606,ac141
rg607,ac141
rg608,ac100
rg609,ac722
rg610,ac2612
rg611,ac2347
rg612,ac2152
rg613,ac608
rg614,ac1771
rg615,ac1379
rg616,ac3835
rg617,ac3341
rg618,ac3959
rg619,ac4186
rg620,ac309
rg621,ac3202
rg622,ac2048
rg623,ac141
rg624,ac4061
rg625,ac417
rg626,ac888
rg627,ac291
rg628,ac1032
rg629,ac2840
rg630,ac3620
rg631,ac519
rg632,ac3243
rg633,ac2268
rg634,ac2144
rg635,ac418
rg636,ac3983
rg637,ac3548
rg638,ac2960
rg639,ac4123
rg640,ac4602
rg641,ac3049
rg642,ac1944
rg643,ac141
rg644,ac1814
rg645,ac4487
rg646,ac2535
rg647,ac141
rg648,ac3318
rg649,ac3118
rg650,ac3143
rg651,ac4336
rg652,ac1489
rg653,ac2511
rg654,ac1368
rg655,ac1257
rg656,ac2935
rg657,ac1
rg658,ac3091
rg659,ac107
rg660,ac962
rg661,ac962
rg662,ac2293
rg663,ac573
rg664,ac420
rg665,ac141
rg666,ac3750
rg667,ac2058
rg668,ac3872
rg669,ac670
rg670,ac2901
rg671,ac2887
rg672,ac1905
rg673,ac141
rg674,ac3671
rg675,ac465
rg676,ac4072
rg677,ac141
rg678,ac1756
rg679,ac2881
rg680,ac979
rg681,ac859
rg682,ac2133
rg683,ac1937
rg684,ac2420
rg685,ac3660
rg686,ac3403
rg687,ac141
rg688,ac649
rg689,ac650
rg690,ac4624
rg691,ac2347
rg692,ac1143
rg693,ac141
rg694,ac4270
rg695,ac1968
rg696,ac830
rg697,ac2135
rg698,ac136
rg699,ac1957
rg700,ac1015
rg701,ac3657
rg702,ac3322
rg703,ac2155
rg704,ac2834
rg705,ac4537
rg706,ac259
rg707,ac900
rg708,ac921
rg709,ac1413
rg710,ac2224
rg711,ac141
rg712,ac2337
rg713,ac2700
rg714,ac544
rg715,ac141
rg716,ac1463
rg717,ac3022
rg718,ac1099
rg719,ac141
rg720,ac2395
rg721,ac3829
rg722,ac141
rg723,ac772
rg724,ac1646
rg725,ac2038
rg726,ac3836
rg727,ac237
rg728,ac4590
rg729,ac3752
rg730,ac237
rg731,ac1030
rg732,ac1997
rg733,ac1609
rg734,ac1003
rg735,ac2877
rg736,ac312
rg737,ac3684
rg738,ac1503
rg739,ac1693
rg740,ac141
rg741,ac2236
rg742,ac4492
rg743,ac3579
rg744,ac141
rg745,ac2703
rg746,ac1504
rg747,ac177
rg748,ac507
rg749,ac4283
rg750,ac3161
rg751,ac2962
rg752,ac141
rg753,ac2689
rg754,ac685
rg755,ac3462
rg756,ac3462
rg757,ac4368
rg758,ac547
rg759,ac1007
rg760,ac2353
rg761,ac4091
rg762,ac3691
rg763,ac4164
rg764,ac1728
rg765,ac627
rg766,ac3826
rg767,ac112
rg768,ac112
rg769,ac1060
rg770,ac3404
rg771,ac141
rg772,ac3243
rg773,ac815
rg774,ac4116
rg775,ac337
rg776,ac2060
rg777,ac1424
rg778,ac2543
rg779,ac3952
rg780,ac3163
rg781,ac141
rg782,ac141
rg783,ac1294
rg784,ac141
rg785,ac2503
rg786,ac2502
rg787,ac4050
rg788,ac634
rg789,ac4071
rg790,ac141
rg791,ac4534
rg792,ac3070
rg793,ac3311
rg794,ac141
rg795,ac655
rg796,ac141
rg797,ac1193
rg798,ac4448
rg799,ac1399
rg800,ac1240
rg801,ac2897
rg802,ac3047
rg803,ac3113
rg804,ac2282
rg805,ac2282
rg806,ac766
rg807,ac1274
rg808,ac3282
rg809,ac1337
rg810,ac2695
rg811,ac4090
rg812,ac4403
rg813,ac4267
rg814,ac4472
rg815,ac3237
rg816,ac3237
rg817,ac136
rg818,ac502
rg819,ac1792
rg820,ac1792
rg821,ac3721
rg822,ac585
rg823,ac3596
rg824,ac1878
rg825,ac4192
rg826,ac4026
rg827,ac4381
rg828,ac3494
rg829,ac1882
rg830,ac141
rg831,ac3590
rg832,ac2690
rg833,ac4472
rg834,ac4238
rg835,ac141
rg836,ac286
rg837,ac2207
rg838,ac2532
rg839,ac1026
rg840,ac1026
rg841,ac1559
rg842,ac141
rg843,ac2725
rg844,ac1939
rg845,ac3068
rg846,ac3757
rg847,ac1460
rg848,ac1939
rg849,ac532
rg850,ac532
rg851,ac141
rg852,ac141
rg853,ac4239
rg854,ac141
rg855,ac805
rg856,ac2724
rg857,ac3731
rg858,ac141
rg859,ac2505
rg860,ac1600
rg861,ac141
rg862,ac141
rg863,ac2172
rg864,ac141
rg865,ac4317
rg866,ac578
rg867,ac3240
rg868,ac212
rg869,ac912
rg870,ac1823
rg871,ac1859
rg872,ac3167
rg873,ac160
rg874,ac717
rg875,ac510
rg876,ac2303
rg877,ac3872
rg878,ac1611
rg879,ac4264
rg880,ac1166
rg881,ac141
rg882,ac141
rg883,ac1218
rg884,ac52
rg885,ac3009
rg886,ac3918
rg887,ac2630
rg888,ac2022
rg889,ac2622
rg890,ac1955
rg891,ac145
rg892,ac141
rg893,ac3024
rg894,ac3844
rg895,ac4213
rg896,ac1498
rg897,ac918
rg898,ac4131
rg899,ac4164
rg900,ac141
rg901,ac141
rg902,ac956
rg903,ac849
rg904,ac2103
rg905,ac2104
rg906,ac738
rg907,ac4470
rg908,ac3897
rg909,ac4356
rg910,ac3662
rg911,ac1981
rg912,ac2313
rg913,ac141
rg914,ac510
rg915,ac4611
rg916,ac1023
rg917,ac4433
rg918,ac2063
rg919,ac2429
rg920,ac2874
rg921,ac1171
rg922,ac3555
rg923,ac141
rg924,ac3533
rg925,ac2873
rg926,ac214
rg927,ac3080
rg928,ac3055
rg929,ac2778
rg930,ac2778
rg931,ac3145
rg932,ac1433
rg933,ac1023
rg934,ac1941
rg935,ac4040
rg936,ac2226
rg937,ac1239
rg938,ac993
rg939,ac141
rg940,ac418
rg941,ac2901
rg942,ac3444
rg943,ac2885
rg944,ac1008
rg945,ac2762
rg946,ac4135
rg947,ac153
rg948,ac3202
rg949,ac3647
rg950,ac1546
rg951,ac1703
rg952,ac897
rg953,ac1685
rg954,ac2696
rg955,ac425
rg956,ac1283
rg957,ac1376
rg958,ac4113
rg959,ac94
rg960,ac3346
rg961,ac882
rg962,ac2051
rg963,ac141
rg964,ac620
rg965,ac1939
rg966,ac1737
rg967,ac2666
rg968,ac2175
rg969,ac4219
rg970,ac3506
rg971,ac1439
rg972,ac3340
rg973,ac3455
rg974,ac3032
rg975,ac1344
rg976,ac130
rg977,ac1259
rg978,ac34
rg979,ac2521
rg980,ac1029
rg981,ac280
rg982,ac365
rg983,ac141
rg984,ac2057
rg985,ac3410
rg986,ac3958
rg987,ac2873
rg988,ac3057
rg989,ac355
rg990,ac471
rg991,ac3324
rg992,ac4350
rg993,ac3076
rg994,ac1286
rg995,ac2800
rg996,ac205
rg997,ac1038
rg998,ac294
rg999,ac2586
rg1000,ac3498
rg1001,ac141
rg1002,ac1718
rg1003,ac1776
rg1004,ac141
rg1005,ac4221
rg1006,ac1252
rg1007,ac141
rg1008,ac4598
rg1009,ac555
rg1010,ac2777
rg1011,ac276
rg1012,ac141
rg1013,ac2033
rg1014,ac3770
rg1015,ac141
rg1016,ac141
rg1017,ac3124
rg1018,ac4572
rg1019,ac1626
rg1020,ac2160
rg1021,ac141
rg1022,ac3954
rg1023,ac848
rg1024,ac388
rg1025,ac1677
rg1026,ac2838
rg1027,ac1302
rg1028,ac2542
rg1029,ac122
rg1030,ac213
rg1031,ac227
rg1032,ac4063
rg1033,ac141
rg1034,ac141
rg1035,ac529
rg1036,ac3242
rg1037,ac3928
rg1038,ac3928
rg1039,ac957
rg1040,ac141
rg1041,ac2219
rg1042,ac222
rg1043,ac3710
rg1044,ac4427
rg1045,ac1856
rg1046,ac124
rg1047,ac1329
rg1048,ac141
rg1049,ac3779
rg1050,ac4385
rg1051,ac766
rg1052,ac1777
rg1053,ac2563
rg1054,ac314
rg1055,ac2693
rg1056,ac141
rg1057,ac1045
rg1058,ac3433
rg1059,ac573
rg1060,ac141
rg1061,ac4496
rg1062,ac3808
rg1063,ac1824
rg1064,ac108
rg1065,ac112
rg1066,ac137
rg1067,ac3809
rg1068,ac2828
rg1069,ac81
rg1070,ac4226
rg1071,ac141
rg1072,ac787
rg1073,ac4028
rg1074,ac4474
rg1075,ac1689
rg1076,ac141
rg1077,ac141
rg1078,ac4111
rg1079,ac3092
rg1080,ac756
rg1081,ac1819
rg1082,ac2412
rg1083,ac4174
rg1084,ac1205
rg1085,ac1908
rg1086,ac521
rg1087,ac567
rg1088,ac3119
rg1089,ac1558
rg1090,ac3592
rg1091,ac176
rg1092,ac3382
rg1093,ac141
rg1094,ac1986
rg1095,ac3618
rg1096,ac2928
rg1097,ac141
rg1098,ac1180
rg1099,ac877
rg1100,ac3052
rg1101,ac3973
rg1102,ac3037
rg1103,ac3799
rg1104,ac141
rg1105,ac2128
rg1106,ac2770
rg1107,ac3474
rg1108,ac2865
rg1109,ac2227
rg1110,ac1576
rg1111,ac4007
rg1112,ac4162
rg1113,ac450
rg1114,ac260
rg1115,ac1793
rg1116,ac4433
rg1117,ac4118
rg1118,ac1234
rg1119,ac269
rg1120,ac1189
rg1121,ac3973
rg1122,ac4122
rg1123,ac2909
rg1124,ac1854
rg1125,ac3723
rg1126,ac2706
rg1127,ac3375
rg1128,ac2414
rg1129,ac1769
rg1130,ac1019
rg1131,ac518
rg1132,ac141
rg1133,ac2030
rg1134,ac4264
rg1135,ac514
rg1136,ac3444
rg1137,ac2906
rg1138,ac1235
rg1139,ac49
rg1140,ac3156
rg1141,ac1203
rg1142,ac141
rg1143,ac141
rg1144,ac765
rg1145,ac846
rg1146,ac3086
rg1147,ac440
rg1148,ac928
rg1149,ac2428
rg1150,ac3477
rg1151,ac3000
rg1152,ac3718
rg1153,ac141
rg1154,ac4019
rg1155,ac671
rg1156,ac3939
rg1157,ac141
rg1158,ac4277
rg1159,ac2765
rg1160,ac3581
rg1161,ac866
rg1162,ac3704
rg1163,ac141
rg1164,ac1448
rg1165,ac141
rg1166,ac4599
rg1167,ac2715
rg1168,ac141
rg1169,ac4625
rg1170,ac911
rg1171,ac2141
rg1172,ac1225
rg1173,ac871
rg1174,ac2656
rg1175,ac141
rg1176,ac4583
rg1177,ac175
rg1178,ac2446
rg1179,ac42
rg1180,ac3954
rg1181,ac1000
rg1182,ac1297
rg1183,ac2303
rg1184,ac801
rg1185,ac2406
rg1186,ac658
rg1187,ac2890
rg1188,ac1691
rg1189,ac1425
rg1190,ac4195
rg1191,ac141
rg1192,ac141
rg1193,ac2879
rg1194,ac742
rg1195,ac1378
rg1196,ac4291
rg1197,ac4027
rg1198,ac1657
rg1199,ac4599
rg1200,ac1682
rg1201,ac141
rg1202,ac1134
rg1203,ac4000
rg1204,ac2930
rg1205,ac3344
rg1206,ac1516
rg1207,ac2098
rg1208,ac1384
rg1209,ac3087
rg1210,ac4517
rg1211,ac3840
rg1212,ac1541
rg1213,ac141
rg1214,ac141
rg1215,ac3091
rg1216,ac4284
rg1217,ac1851
rg1218,ac141
rg1219,ac141
rg1220,ac3147
rg1221,ac811
rg1222,ac1804
rg1223,ac2421
rg1224,ac4529
rg1225,ac3437
rg1226,ac3899
rg1227,ac2602
rg1228,ac982
rg1229,ac2002
rg1230,ac1355
rg1231,ac3747
rg1232,ac3388
rg1233,ac4014
rg1234,ac2182
rg1235,ac1052
rg1236,ac1575
rg1237,ac465
rg1238,ac3281
rg1239,ac3176
rg1240,ac141
rg1241,ac4305
rg1242,ac1322
rg1243,ac3795
rg1244,ac3233
rg1245,ac4379
rg1246,ac3204
rg1247,ac4391
rg1248,ac3791
rg1249,ac3791
rg1250,ac141
rg1251,ac141
rg1252,ac2654
rg1253,ac1616
rg1254,ac3351
rg1255,ac905
rg1256,ac141
rg1257,ac3069
rg1258,ac1823
rg1259,ac13
rg1260,ac13
rg1261,ac730
rg1262,ac533
rg1263,ac3060
rg1264,ac766
rg1265,ac706
rg1266,ac1736
rg1267,ac4060
rg1268,ac141
rg1269,ac3323
rg1270,ac2083
rg1271,ac4446
rg1272,ac4446
rg1273,ac1073
rg1274,ac3045
rg1275,ac3931
rg1276,ac4210
rg1277,ac974
rg1278,ac1206
rg1279,ac1025
rg1280,ac466
rg1281,ac547
rg1282,ac4444
rg1283,ac141
rg1284,ac1886
rg1285,ac141
rg1286,ac3527
rg1287,ac1187
rg1288,ac141
rg1289,ac2931
rg1290,ac4395
rg1291,ac1
rg1292,ac4433
rg1293,ac1048
rg1294,ac55
rg1295,ac3651
rg1296,ac141
rg1297,ac2921
rg1298,ac970
rg1299,ac141
rg1300,ac1237
rg1301,ac3365
rg1302,ac1255
rg1303,ac4456
rg1304,ac141
rg1305,ac2897
rg1306,ac2803
rg1307,ac1729
rg1308,ac141
rg1309,ac3827
rg1310,ac307
rg1311,ac2832
rg1312,ac2138
rg1313,ac4312
rg1314,ac2844
rg1315,ac2032
rg1316,ac3466
rg1317,ac1881
rg1318,ac2525
rg1319,ac3879
rg1320,ac2365
rg1321,ac4402
rg1322,ac2066
rg1323,ac3426
rg1324,ac3647
rg1325,ac141
rg1326,ac3904
rg1327,ac215
rg1328,ac794
rg1329,ac884
rg1330,ac1270
rg1331,ac4270
rg1332,ac99
rg1333,ac3285
rg1334,ac3867
rg1335,ac4524
rg1336,ac584
rg1337,ac2143
rg1338,ac4010
rg1339,ac141
rg1340,ac3479
rg1341,ac141
rg1342,ac3912
rg1343,ac541
rg1344,ac3235
rg1345,ac2449
rg1346,ac4437
rg1347,ac4588
rg1348,ac3091
rg1349,ac3951
rg1350,ac4518
rg1351,ac1665
rg1352,ac1691
rg1353,ac570
rg1354,ac140
rg1355,ac2285
rg1356,ac1236
rg1357,ac1638
rg1358,ac1638
rg1359,ac1691
rg1360,ac4473
rg1361,ac2593
rg1362,ac4230
rg1363,ac2304
rg1364,ac1592
rg1365,ac2259
rg1366,ac141
rg1367,ac2018
rg1368,ac3054
rg1369,ac141
rg1370,ac2367
rg1371,ac4444
rg1372,ac141
rg1373,ac3958
rg1374,ac4209
rg1375,ac141
rg1376,ac141
rg1377,ac141
rg1378,ac2583
rg1379,ac3160
rg1380,ac2400
rg1381,ac668
rg1382,ac141
rg1383,ac2920
rg1384,ac141
rg1385,ac141
rg1386,ac546
rg1387,ac3090
rg1388,ac686
rg1389,ac686
rg1390,ac4495
rg1391,ac141
rg1392,ac141
rg1393,ac2010
rg1394,ac2932
rg1395,ac2997
rg1396,ac141
rg1397,ac2641
rg1398,ac141
rg1399,ac141
rg1400,ac1642
rg1401,ac2272
rg1402,ac3531
rg1403,ac3730
rg1404,ac3700
rg1405,ac2848
rg1406,ac141
rg1407,ac1739
rg1408,ac2830
rg1409,ac141
rg1410,ac66
rg1411,ac294
rg1412,ac2412
rg1413,ac726
rg1414,ac1349
rg1415,ac756
rg1416,ac4022
rg1417,ac4369
rg1418,ac4332
rg1419,ac2025
rg1420,ac3807
rg1421,ac3843
rg1422,ac4234
rg1423,ac965
rg1424,ac2995
rg1425,ac4322
rg1426,ac1398
rg1427,ac1336
rg1428,ac844
rg1429,ac1502
rg1430,ac2537
rg1431,ac3445
rg1432,ac141
rg1433,ac556
rg1434,ac1499
rg1435,ac1784
rg1436,ac3715
rg1437,ac667
rg1438,ac4350
rg1439,ac2173
rg1440,ac2173
rg1441,ac1130
rg1442,ac141
rg1443,ac141
rg1444,ac4606
rg1445,ac141
rg1446,ac614
rg1447,ac141
rg1448,ac2671
rg1449,ac3239
rg1450,ac2512
rg1451,ac392
rg1452,ac3018
rg1453,ac1460
rg1454,ac2608
rg1455,ac1294
rg1456,ac2606
rg1457,ac4629
rg1458,ac141
rg1459,ac1611
rg1460,ac3251
rg1461,ac126
rg1462,ac3464
rg1463,ac141
rg1464,ac2218
rg1465,ac141
rg1466,ac2749
rg1467,ac1451
rg1468,ac1360
rg1469,ac3902
rg1470,ac642
rg1471,ac1360
rg1472,ac2661
rg1473,ac828
rg1474,ac3456
rg1475,ac476
rg1476,ac3126
rg1477,ac1066
rg1478,ac2702
rg1479,ac2902
rg1480,ac2570
rg1481,ac2970
rg1482,ac161
rg1483,ac2195
rg1484,ac3881
rg1485,ac4165
rg1486,ac141
rg1487,ac734
rg1488,ac141
rg1489,ac3505
rg1490,ac1587
rg1491,ac141
rg1492,ac141
rg1493,ac993
rg1494,ac3293
rg1495,ac4553
rg1496,ac2246
rg1497,ac3753
rg1498,ac3341
rg1499,ac367
rg1500,ac4060
rg1501,ac1494
rg1502,ac4189
rg1503,ac221
rg1504,ac4466
rg1505,ac2098
rg1506,ac1935
rg1507,ac501
rg1508,ac1587
rg1509,ac4174
rg1510,ac3462
rg1511,ac3631
rg1512,ac3399
rg1513,ac2286
rg1514,ac976
rg1515,ac892
rg1516,ac1159
rg1517,ac218
rg1518,ac141
rg1519,ac3268
rg1520,ac141
rg1521,ac4504
rg1522,ac3436
rg1523,ac3639
rg1524,ac2206
rg1525,ac141
rg1526,ac1801
rg1527,ac2465
rg1528,ac141
rg1529,ac3302
rg1530,ac3430
rg1531,ac2389
rg1532,ac645
rg1533,ac3265
rg1534,ac255
rg1535,ac2766
rg1536,ac2601
rg1537,ac141
rg1538,ac141
rg1539,ac141
rg1540,ac141
rg1541,ac1366
rg1542,ac1878
rg1543,ac817
rg1544,ac1154
rg1545,ac1733
