node_id,entity_type,degree,betweenness,is_articulation_point
nm1571576,name,5,4.053494289602935e-06,True
tt0103742,movie,11,4.0091129652642165e-06,True
tt3316134,movie,12,4.0091129652642165e-06,True
tt0077668,movie,10,3.99136043552873e-06,True
tt0039847,movie,11,3.939178757215327e-06,True
tt6957448,movie,12,3.8986961319643725e-06,True
tt0043072,movie,13,3.831587667909343e-06,False
nm1930572,name,7,3.816793893129771e-06,True
tt0074294,movie,10,3.7872063435706255e-06,True
nm1273714,name,6,3.775371323746967e-06,True
tt7089878,movie,12,3.7280312444523346e-06,True
tt12543115,movie,11,3.688581178373474e-06,False
tt0180492,movie,11,3.6750952590454285e-06,True
tt12542789,movie,9,3.654062370554471e-06,False
tt2825982,movie,11,3.6422273507308123e-06,True
tt5044186,movie,13,3.618557311083496e-06,True
tt12532138,movie,10,3.598198259124941e-06,False
tt12533438,movie,8,3.59488727143618e-06,False
nm0555101,name,3,3.5505059470974615e-06,True
nm0859651,name,4,3.5505059470974615e-06,True
tt1572783,movie,11,3.497318804437569e-06,True
tt0081605,movie,11,3.4676608083318535e-06,False
nm0651274,name,4,3.461743298420025e-06,True
tt0105597,movie,13,3.4543464110302382e-06,False
nm0387354,name,3,3.4237726098191217e-06,False
tt7341328,movie,11,3.4025681993017332e-06,False
tt12539964,movie,6,3.358186874963016e-06,False
tt6620638,movie,11,3.32859932540387e-06,True
tt0385541,movie,13,3.2952800128372645e-06,True
nm0919798,name,4,3.294573643410853e-06,False
tt12540396,movie,7,3.2651974334914155e-06,False
tt12545653,movie,6,3.245225837538992e-06,False
tt12538951,movie,7,3.210249127167288e-06,False
tt0387616,movie,11,3.1954553523877153e-06,True
tt0328285,movie,11,3.1777028226522276e-06,False
tt1067065,movie,11,3.1542282563053022e-06,True
tt0457495,movie,11,3.151074028048997e-06,True
tt12531864,movie,10,3.139450347865047e-06,False
tt12537090,movie,7,3.1362802532694244e-06,False
tt12532992,movie,10,3.121486478489852e-06,False
tt1100032,movie,11,3.1066927037102788e-06,True
