node_id,entity_type,degree,betweenness,is_articulation_point
b319,area,1079,0.20317585981268713,True
b321,area,340,0.09249382732786773,True
b219,area,288,0.057701361441350844,True
b8,area,169,0.031698209221268814,True
t1986,track,3,0.030696933540620395,False
a3843,artist,2,0.024135670727563254,False
b657,area,74,0.020614981995017306,True
t877,track,4,0.02054166726016192,True
b217,area,95,0.02022554881863518,True
a4254,artist,2,0.018973888126091753,False
t3613,track,5,0.018742427583104584,False
a4499,artist,2,0.01859163272430935,False
a2410,artist,5,0.018408355699493915,False
a788,artist,5,0.018299297303612315,False
a700,artist,2,0.018259705326496345,False
a1181,artist,5,0.01710561658643355,False
a3812,artist,3,0.017085824743903147,False
a2562,artist,2,0.014129509240779313,False
t3240,track,7,0.014087266098701276,False
a3921,artist,5,0.013624781848976199,False
a3704,artist,4,0.012937634394528646,False
a4008,artist,5,0.01265549256623801,True
b127,area,83,0.012523230840259759,True
a2388,artist,3,0.012434864780656703,False
a3283,artist,2,0.01222722685025176,False
t4439,track,2,0.01217860164750851,False
b552,area,38,0.012101010780114342,True
a436,artist,2,0.011666550869289107,False
a2914,artist,4,0.01166219584757294,False
b443,area,64,0.00950849078291484,True
a3172,artist,2,0.009476937968341571,True
b606,area,152,0.009361206404015545,False
a2492,artist,2,0.008977974548796168,False
a761,artist,2,0.008977974548796168,False
a2255,artist,4,0.008583560996166363,False
a3567,artist,4,0.008583560996166363,False
t109,track,4,0.00855014204965123,False
t1293,track,4,0.00855014204965123,False
a1471,artist,2,0.00629975309603867,False
t3176,track,2,0.006257452280006163,False
t1654,track,2,0.00623630187198991,False
t3617,track,2,0.00623630187198991,False
a3423,artist,2,0.006215151463973657,False
t1929,track,3,0.0061058458455028105,True
a302,artist,2,0.006096310468755792,False
a4173,artist,2,0.006067702043969151,False
a619,artist,2,0.005810864089749442,False
t3455,track,2,0.005775499879657629,False
a2682,artist,2,0.005767977212641248,False
b16,area,27,0.005195349508773577,True
a4725,artist,3,0.004740375670059553,False
t3184,track,2,0.00473591884522735,False
a4724,artist,5,0.004735617522573542,False
a3952,artist,3,0.004735548403593097,False
a4674,artist,3,0.004735548403593097,False
a853,artist,2,0.0047210548084825905,False
a4628,artist,2,0.004628319066211499,False
a1315,artist,2,0.004623761428045595,False
t3581,track,2,0.004599130879363918,False
a2640,artist,2,0.0045843186818544926,False
t1340,track,5,0.004567964020240388,False
t1226,track,3,0.004567964020240388,False
t1102,track,3,0.004567964020240388,False
t2697,track,3,0.004567964020240388,False
a1029,artist,5,0.004479796942466265,False
a2960,artist,7,0.004477147398852321,True
a3673,artist,2,0.0043790174833350185,False
t741,track,3,0.004355494458085094,True
a3865,artist,2,0.004312544798176222,False
a4266,artist,2,0.004290354894709072,False
t2909,track,2,0.004279477359829,False
t1641,track,2,0.004273602246491157,False
t270,track,2,0.004273602246491157,False
t2912,track,2,0.004273602246491157,False
t1524,track,9,0.0038998389689688644,False
t1458,track,9,0.0038998389689688644,False
t1775,track,10,0.0038998389689688644,False
t2459,track,3,0.0038129128475585103,False
a3061,artist,2,0.0037757969876416383,False
a3473,artist,4,0.00341581827289191,False
t1168,track,7,0.00291091130196244,True
t1272,track,5,0.0024376550140498723,False
a3252,artist,4,0.0022643100169817834,False
a4344,artist,3,0.0022592141808354853,False
a1847,artist,4,0.0022569481148869753,False
a4487,artist,3,0.002256913555396753,False
a2065,artist,3,0.002256913555396753,False
a4554,artist,3,0.002256913555396753,False
a3113,artist,4,0.002256913555396753,False
t3385,track,4,0.002209973532076102,False
t2631,track,4,0.002209973532076102,False
a1597,artist,4,0.0022061450811199416,False
a4271,artist,4,0.002007769378241801,False
b438,area,6,0.001959662567851891,True
a2119,artist,9,0.0019425198264339458,True
a4192,artist,2,0.0019310334649514668,False
a4590,artist,2,0.0019310334649514668,False
a1091,artist,5,0.001737754846864825,True
a1470,artist,3,0.0017370290975701498,True
a2644,artist,2,0.0016894406795335795,True
a1605,artist,5,0.001688362827319058,False
a1239,artist,7,0.001688362827319058,False
a1440,artist,5,0.001688362827319058,False
a4596,artist,5,0.001688362827319058,False
a1439,artist,6,0.001688362827319058,False
a4824,artist,5,0.001688362827319058,False
a1243,artist,5,0.001688362827319058,False
t3443,track,6,0.0016880928594148969,True
t1263,track,2,0.0016382235150236325,True
a1572,artist,2,0.0015870063505136853,True
t3217,track,6,0.0015798629813881103,False
t3744,track,6,0.0015782541596148028,False
b177,area,12,0.0015375517200050927,True
a4850,artist,2,0.0015136617742281696,False
a3391,artist,3,0.0014819800597270934,True
a3974,artist,3,0.0014819800597270934,True
a465,artist,2,0.0014780402778417129,False
a494,artist,2,0.0014780402778417129,False
t547,track,2,0.001467545165803376,False
b215,area,181,0.001453566974840553,True
a1609,artist,2,0.0014504326095479297,False
t588,track,2,0.0014309702521584822,True
a2464,artist,3,0.0012936653975039515,False
a3196,artist,5,0.0012271383788253728,True
a2694,artist,5,0.0012271383788253726,True
a3078,artist,5,0.0012271383788253726,True
a4012,artist,5,0.001227034700354705,True
a3150,artist,3,0.0012096939274660982,False
a4528,artist,14,0.0011785131760821232,True
a4657,artist,4,0.0011760248927860934,True
a453,artist,4,0.0011760248927860934,True
a2574,artist,2,0.0011249114067468143,True
a1941,artist,11,0.0010243432901989424,True
a3158,artist,3,0.0009724003763943203,True
b528,area,6,0.000921390568825709,True
a1164,artist,3,0.0008701263738168346,True
a1845,artist,2,0.0008699660473744257,True
a1820,artist,10,0.0008541053076115128,False
a4038,artist,7,0.0008190599182764822,True
t2382,track,2,0.0008187488828644786,True
a2995,artist,2,0.0008088893376484185,False
a3424,artist,6,0.0007677390752958672,True
a3315,artist,6,0.0007677390752958672,True
b54,area,3,0.0007675317183545315,True
a2331,artist,3,0.0007675317183545315,True
t4413,track,2,0.0007649475613680526,False
a1149,artist,2,0.0007562357294206423,False
t1435,track,4,0.0007332264218135428,False
a418,artist,5,0.0007167333895013195,True
a2580,artist,5,0.0007167333895013192,True
a3573,artist,5,0.0007166296053441368,True
a2040,artist,5,0.0007165219107859201,True
a773,artist,5,0.0007164182323152526,True
a2313,artist,5,0.0007164182323152525,True
a1687,artist,5,0.0007164182323152522,True
a646,artist,5,0.0007164182323152522,True
a890,artist,5,0.0007164182323152522,True
a4283,artist,5,0.0007164182323152522,True
a196,artist,5,0.0007164182323152522,True
a4144,artist,5,0.0007164182323152522,True
a4485,artist,5,0.0007164182323152522,True
a732,artist,5,0.0007164182323152522,True
a1771,artist,5,0.0007164182323152522,True
a1082,artist,5,0.0007164182323152522,True
a1068,artist,5,0.0007163145538445844,True
a3160,artist,2,0.0007163145538445844,True
a163,artist,2,0.0007163145538445844,True
a4661,artist,5,0.0007163145538445844,True
a2588,artist,2,0.0007163145538445844,True
a2246,artist,5,0.0007163145538445844,True
a4537,artist,5,0.0007163145538445842,True
a3796,artist,6,0.0006827385379839869,False
a2374,artist,4,0.0006656715841676023,True
a3721,artist,4,0.0006654640158532375,True
a906,artist,4,0.000665304746275973,True
a4858,artist,4,0.0006653047462759729,True
a3830,artist,4,0.0006652010678053055,True
a4377,artist,4,0.0006652010678053051,True
a815,artist,4,0.0006652010678053051,True
a2736,artist,4,0.0006652010678053051,True
a892,artist,4,0.000665201067805305,True
a2196,artist,4,0.0006651492285699715,True
a229,artist,4,0.0006651492285699713,True
a2047,artist,4,0.0006651492285699712,True
a1876,artist,4,0.0006651492285699712,True
t1464,track,4,0.0006651492285699712,True
a2835,artist,4,0.0006651492285699712,True
a1786,artist,4,0.0006651492285699712,True
a4013,artist,4,0.0006651492285699711,True
a2681,artist,4,0.0006651492285699711,True
a3524,artist,4,0.0006651492285699711,True
a139,artist,4,0.0006651492285699711,True
a4120,artist,4,0.0006650973893346372,True
t2498,track,3,0.0006650973893346372,True
a2451,artist,4,0.0006650973893346372,True
b252,area,3,0.0006650973893346372,True
a2742,artist,2,0.0006650973893346372,True
a18,artist,4,0.0006650973893346372,True
b359,area,3,0.0006650973893346372,True
t697,track,2,0.0006650973893346372,True
a3321,artist,4,0.0006650973893346371,True
a923,artist,4,0.0006650973893346371,True
a283,artist,4,0.0006650973893346371,True
a1419,artist,5,0.0006650455500993036,False
a3924,artist,5,0.0006650455500993036,False
a3784,artist,2,0.0006370721634146856,False
a4451,artist,2,0.0006370721634146856,False
a1424,artist,2,0.0006370721634146856,False
a2719,artist,3,0.0006356558609497193,True
a3046,artist,4,0.0006144022105195207,True
a3013,artist,3,0.0006144022105195205,True
a284,artist,3,0.0006142984263623383,True
a1755,artist,3,0.0006142984263623383,True
a525,artist,3,0.000613983903295358,True
a1621,artist,4,0.000613983903295358,True
a4179,artist,3,0.000613983903295358,True
a1577,artist,3,0.000613983903295358,True
a4658,artist,3,0.000613983903295358,True
a2266,artist,3,0.000613983903295358,True
a3766,artist,3,0.0006138802248246905,True
a3419,artist,3,0.0006138802248246902,True
t3076,track,4,0.0006138802248246902,True
a3204,artist,3,0.0006138802248246902,True
a479,artist,3,0.00061388022482469,True
a3365,artist,3,0.00061388022482469,True
a4365,artist,3,0.00061388022482469,True
a4265,artist,3,0.00061388022482469,True
a1715,artist,3,0.00061388022482469,True
a3481,artist,3,0.00061388022482469,True
a2156,artist,3,0.00061388022482469,True
a4476,artist,3,0.00061388022482469,True
a84,artist,3,0.00061388022482469,True
a2606,artist,3,0.00061388022482469,True
a3141,artist,3,0.00061388022482469,True
a3610,artist,3,0.00061388022482469,True
a268,artist,3,0.00061388022482469,True
t637,track,2,0.00061388022482469,True
a1366,artist,3,0.00061388022482469,True
a4459,artist,3,0.00061388022482469,True
a971,artist,3,0.00061388022482469,True
a1805,artist,3,0.00061388022482469,True
a3786,artist,2,0.00061388022482469,True
a2677,artist,3,0.00061388022482469,True
a4094,artist,3,0.0005844386964397695,True
a3454,artist,2,0.0005631328368714393,True
a2922,artist,2,0.000563132836871439,True
a864,artist,2,0.000563132836871439,True
a4360,artist,2,0.000563132836871439,True
a1544,artist,5,0.000563132836871439,True
a4569,artist,3,0.000563132836871439,True
a4603,artist,2,0.000563132836871439,True
b592,area,2,0.000563132836871439,True
a3247,artist,2,0.0005631328368714389,True
a4591,artist,2,0.0005631328368714389,True
a2463,artist,2,0.0005631328368714389,True
a41,artist,2,0.0005631328368714389,True
a4750,artist,2,0.0005626630603147434,True
a3639,artist,2,0.0005626630603147434,True
a2533,artist,2,0.0005626630603147434,True
a548,artist,2,0.0005626630603147434,True
a2000,artist,2,0.0005626630603147434,True
a2980,artist,2,0.0005626630603147431,True
a1282,artist,2,0.0005626630603147431,True
a2143,artist,2,0.0005626630603147431,True
a2769,artist,2,0.0005626630603147431,True
a2125,artist,2,0.0005626630603147431,True
a1840,artist,2,0.0005626630603147429,True
a380,artist,2,0.0005626630603147429,True
a2232,artist,2,0.0005626630603147429,True
a288,artist,2,0.0005626630603147429,True
a2907,artist,2,0.0005626630603147429,True
a3802,artist,2,0.0005626630603147429,True
a4635,artist,2,0.0005626630603147429,True
a2550,artist,2,0.0005626630603147429,True
a2586,artist,2,0.0005626630603147429,True
a1478,artist,2,0.0005626630603147429,True
a4555,artist,2,0.0005626630603147429,True
a2350,artist,2,0.0005626630603147429,True
a4415,artist,2,0.0005626630603147429,True
a3281,artist,2,0.0005626630603147429,True
a715,artist,2,0.0005626630603147429,True
a714,artist,2,0.0005626630603147429,True
a1371,artist,2,0.0005626630603147429,True
a443,artist,2,0.0005626630603147429,True
a902,artist,2,0.0005626630603147429,True
a1154,artist,2,0.0005626630603147429,True
a4787,artist,2,0.0005626630603147429,True
a3323,artist,2,0.0005626630603147429,True
a3827,artist,2,0.0005626630603147429,True
a4687,artist,2,0.0005626630603147429,True
a2090,artist,2,0.0005626630603147429,True
a243,artist,2,0.0005626630603147429,True
a1953,artist,2,0.0005626630603147429,True
a3006,artist,2,0.0005626630603147429,True
a403,artist,2,0.0005626630603147429,True
t530,track,2,0.0005626630603147429,True
a68,artist,2,0.0005626630603147429,True
a1107,artist,2,0.0005626630603147429,True
a3652,artist,2,0.0005626630603147429,True
a3187,artist,2,0.0005626630603147429,True
a2427,artist,2,0.0005626630603147429,True
a2233,artist,2,0.0005626630603147429,True
a3947,artist,2,0.0005626630603147429,True
a3137,artist,2,0.0005626630603147429,True
a4102,artist,2,0.0005626630603147429,True
a2988,artist,2,0.0005626630603147429,True
a515,artist,2,0.0005626630603147429,True
a1737,artist,2,0.0005626630603147429,True
a917,artist,2,0.0005626630603147429,True
a1506,artist,2,0.0005626630603147429,True
a1709,artist,2,0.0005626630603147429,True
a521,artist,2,0.0005626630603147429,True
a4803,artist,2,0.0005626630603147429,True
a3740,artist,2,0.0005626630603147429,True
a3606,artist,2,0.0005626630603147429,True
a2305,artist,2,0.0005626630603147429,True
a4560,artist,2,0.0005626630603147428,True
a4384,artist,2,0.0005626630603147428,True
a2443,artist,2,0.0005626630603147428,True
a3407,artist,2,0.0005626630603147428,True
