place,area
p597,b321
p599,b724
p600,b377
p601,b533
p602,b531
p603,b88
p604,b88
p605,b680
p606,b155
p607,b40
p608,b656
p610,b410
p611,b614
p612,b607
p613,b407
p614,b99
p615,b31
p617,b410
p618,b704
p619,b343
p620,b215
p622,b726
p623,b357
p624,b610
p625,b376
p626,b573
p627,b601
p629,b386
p630,b280
p631,b280
p632,b48
p633,b682
p634,b726
p635,b726
p636,b2
p637,b155
p638,b424
p639,b333
p640,b526
p641,b321
p642,b192
p643,b192
p644,b169
p645,b728
p646,b22
p647,b488
p648,b339
p649,b276
p650,b653
p651,b695
p652,b423
p653,b729
p654,b528
p655,b619
p656,b385
p657,b287
p658,b192
p659,b525
p660,b1
p661,b667
p662,b734
p663,b642
p664,b289
p665,b332
p666,b716
p667,b716
p668,b83
p669,b83
p670,b342
p671,b314
p672,b196
p673,b201
p675,b506
p676,b163
p678,b381
p679,b280
p680,b600
p681,b388
p682,b560
p683,b253
p684,b54
p685,b215
p686,b716
p687,b716
p689,b622
p690,b155
p691,b29
p692,b574
p693,b628
p694,b567
p695,b362
p696,b410
p697,b144
p698,b726
p700,b425
p701,b486
p702,b629
p703,b510
p704,b510
p706,b704
p707,b27
p708,b642
p711,b91
p712,b7
p714,b33
p715,b601
p716,b478
p717,b54
p718,b158
p719,b676
p720,b31
p722,b342
p723,b712
p724,b454
p725,b269
p726,b410
p727,b644
p728,b156
p729,b235
p730,b141
p731,b642
p732,b734
p733,b601
p734,b667
p735,b34
p736,b155
p738,b85
p739,b59
p740,b563
p741,b704
p742,b655
p743,b136
p744,b166
p745,b286
p747,b498
p749,b488
